ID,TIME,Runway Length,Area of terminal,Area of aircraft parking,Checkin,Flights,Pax
ZTH,2010,2228,13200,58500,15,6784,871064
HER,2010,2682,43300,140000,35,42398,4907337
SKG,2010,2440,32000,21500,30,45118,3910751
KVA,2010,3000,6800,100000,8,4508,296194
KLX,2010,2822,2520,22100,2,1776,95942
CFU,2010,2375,27000,70450,22,14636,1744761
ELF,2010,2436,6200,22000,7,4144,355968
KGS,2010,2390,5900,71000,12,14872,1627240
LXS,2010,3016,5600,66584,10,3794,109307
JMK,2010,1903,8510,28500,10,6142,432455
MTJ,2010,2406,2500,21600,7,7992,506581
RHO,2010,3306,49150,110600,30,31558,3586572
JTR,2010,2125,3700,36800,6,7914,722155
CHQ,2010,3348,14650,74400,12,13852,1654864
JKH,2010,1511,1200,8000,4,5510,267141
ZTH,2011,2228,13200,58500,15,6922,920701
HER,2011,2682,43300,140000,35,44522,5247007
SKG,2011,2440,32000,21500,30,43519,3958475
KVA,2011,3000,6800,100000,8,3618,252307
KLX,2011,2822,2520,22100,2,1652,99451
CFU,2011,2375,27000,70450,22,15302,1844173
ELF,2011,2436,6200,22000,7,3792,346397
KGS,2011,2390,5900,71000,12,16732,1926223
LXS,2011,3016,5600,66584,10,3374,92952
JMK,2011,1903,8510,28500,10,6003,482809
MTJ,2011,2406,2500,21600,7,6756,469380
RHO,2011,3306,49150,110600,30,34662,4148386
JTR,2011,2125,3700,36800,6,8002,785547
CHQ,2011,3348,14650,74400,12,13916,1774708
JKH,2011,1511,1200,8000,4,3960,229500
ZTH,2012,2228,13200,58500,15,6720,871375
HER,2012,2682,43300,140000,40,40858,5052043
SKG,2012,2440,32000,21500,30,43106,4006204
KVA,2012,3000,6800,100000,8,2972,203245
KLX,2012,2822,2520,22100,2,1682,100703
CFU,2012,2375,27000,70450,22,15292,1914522
ELF,2012,2436,6200,22000,7,4016,378527
KGS,2012,2390,5900,71000,12,14972,1797501
LXS,2012,3016,5600,66584,10,3016,83825
JMK,2012,1903,8510,28500,10,6084,501943
MTJ,2012,2406,2500,21600,7,5972,413458
RHO,2012,3306,49150,110600,30,30896,3813947
JTR,2012,2125,3700,36800,6,7442,763539
CHQ,2012,3348,14650,74400,12,14120,1832974
JKH,2012,1511,1200,8000,4,3724,187085
ZTH,2013,2228,13200,58500,15,7506,1004486
HER,2013,2682,43300,140000,40,43546,5778764
