;;2010;2011;2012;2013;2014;2015;2016;2017
AOK;1;1586;1586;1322;647;1258;1503;1373;1351
AOK;2;1355;1372;1130;907;1016;1144;1117;1092
AOK;3;2007;1669;1520;1172;1282;1630;1500;1495
AOK;4;2263;2642;2138;2100;2263;3326;2426;2924
AOK;5;6715;7267;6962;7028;8590;8427;8528;7653
AOK;6;12005;15037;14297;14137;16835;18326;17761;20549
AOK;7;16389;20353;18823;17455;23219;27126;26420;25158
AOK;8;18368;21404;19854;21653;25419;26868;26892;25726
AOK;9;11474;13376;13680;14209;15993;17628;19818;19067
AOK;10;2660;2613;2470;2085;2822;2561;1776;3679
AOK;11;2931;1300;1126;997;1310;1297;1150;1388
AOK;12;1615;1271;965;1073;1297;1311;1260;1215
ATH;1;532277;448545;391545;347055;373113;479250;535315;590651
ATH;2;479056;396768;353677;332282;362746;455367;535599;565005
ATH;3;588106;491301;438433;416961;448256;564398;660446;702896
ATH;4;638266;621020;559473;469789;617308;735179;736957;837999
ATH;5;690482;671479;573454;584775;690019;844570;926946;959815
ATH;6;727235;744184;656876;649370;796229;973926;1009865;1126617
ATH;7;860781;853756;766352;742744;914153;1098127;1222732;1313784
ATH;8;836040;806886;723331;711149;874673;1046709;1157563;1251550
ATH;9;732016;713330;650746;638257;787031;901911;1040742;1122810
ATH;10;632080;574225;529178;535013;689187;759605;856558;991094
ATH;11;478924;410148;393035;396320;507255;595225;653670;701993
ATH;12;482205;435298;403906;426253;540972;607368;692485;729634
AXD;1;13678;9604;8821;6346;5532;6131;5617;5402
AXD;2;12524;8923;8466;5924;5570;5146;5800;5835
AXD;3;12818;10240;9692;7575;6019;6003;6488;6739
AXD;4;13347;9920;10840;6847;7288;7208;6803;6692
AXD;5;11400;10761;8733;7739;7111;7600;7254;6766
AXD;6;11642;10355;8700;7833;7134;8494;7522;7469
AXD;7;13501;11933;10363;8185;7579;8942;8632;8493
AXD;8;12407;11208;9057;8203;7440;8680;7830;8149
AXD;9;11064;9815;8477;6969;6756;7695;7331;7505
AXD;10;10296;8326;7846;6203;6784;6464;6697;7089
AXD;11;10173;7671;7020;5724;5340;5768;4130;6382
AXD;12;9373;9059;6861;6196;6401;5930;5940;6490
CFU;1;10686;8183;7047;6111;6406;7380;7021;7291
CFU;2;9656;7444;7302;6594;6286;6609;7361;6874
CFU;3;12330;9142;11252;9202;8025;9955;9664;11845
CFU;4;18196;22887;27992;34556;37271;36246;41520;50130
CFU;5;102771;105509;101048;118629;131100;136054;156049;163891
CFU;6;137295;148371;167431;179977;203327;211613;232687;250679
CFU;7;187945;203726;218422;234525;269355;268419;308226;316883
CFU;8;187484;200707;203578;227130;260868;270480;296495;301715
CFU;9;129226;142993;148555;161910;186832;187759;218484;233151
CFU;10;54412;52620;47265;56552;64618;65677;84708;87278
CFU;11;9286;8572;7084;8679;7920;8543;8446;11010
CFU;12;8770;8138;6538;7045;7982;7676;8435;10160
CHQ;1;21308;15394;14680;11387;15210;29817;33822;34278
CHQ;2;19698;13606;13765;12165;15143;28226;33284;33563
CHQ;3;22796;17022;19194;16595;16771;34839;45814;42931
CHQ;4;41865;45652;51450;50539;74643;82683;90030;101910
CHQ;5;99124;102148;104929;128207;149550;158475;170627;176826
CHQ;6;122312;136316;147545;166280;184937;194298;205448;233332
CHQ;7;160391;175659;172662;194201;230017;241919;265821;273705
CHQ;8;129882;147113;158650;184088;211092;232489;232631;240469
CHQ;9;116654;131580;140777;155944;172265;181456;203883;215024
CHQ;10;54773;61983;62449;83570;94659;103566;124609;122757
CHQ;11;17130;13636;12702;16697;29109;32955;35180;23116
CHQ;12;15251;14499;12011;15486;27830;30864;35260;21994
EFL;1;1853;1197;1020;810;829;1078;988;796
EFL;2;1685;1106;1026;842;1214;831;1079;834
EFL;3;1989;1337;1383;1240;1233;1286;1282;1164
EFL;4;2740;2592;3624;5427;4156;3537;4306;5363
EFL;5;22676;24533;22246;26028;26624;27404;31831;33877
EFL;6;32160;31344;34719;40163;42580;46643;49046;55444
EFL;7;36081;36874;43660;48235;57586;58091;63907;71048
EFL;8;38708;36518;40691;48026;56907;60123;63728;75045
EFL;9;28111;27959;31931;36222;38913;38871;43374;48983
EFL;10;7436;6071;6047;5825;5832;4501;5762;10356
EFL;11;1312;1087;843;683;1025;1039;1081;1067
EFL;12;1173;993;802;763;998;891;1116;1036
GPA;1;0;0;0;0;0;0;0;2
GPA;2;0;0;0;0;0;0;0;0
GPA;3;0;0;161;80;0;179;0;0
GPA;4;43;0;4177;2611;2825;3885;1374;474
GPA;5;4226;3304;5205;5451;4627;19131;7870;6706
GPA;6;7762;7209;11412;14087;14398;10824;11825;15532
GPA;7;9889;10336;14229;15129;17678;13784;15465;17510
GPA;8;10308;8832;14494;17026;19693;14452;13303;16519
