"","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
"AOK",0.520088242570855,0.570766290112157,0.579911492875532,0.604933269287534,0.601997228862901,0.602663794139947,0.61520073440525,0.595026248359222
"ATH",0.123739469598808,0.160724939792994,0.1558714527454,0.163063351247995,0.178604991567911,0.173695816583772,0.167143196604119,0.168258385166313
"AXD",0.0713163003298917,0.0726709440455568,0.07870593497429,0.0766035884253308,0.0708813186965022,0.107630714059379,0.103184157804117,0.075347078864685
"CFU",0.562218945194948,0.58057171753251,0.592722192952499,0.590339800744117,0.599133224190577,0.596635885852277,0.594444608510344,0.585686245036569
"CHQ",0.448158667573561,0.487411503210581,0.490654214002779,0.498660767880279,0.476959442991938,0.434035558333883,0.418164306404625,0.445580659796022
"EFL",0.587639083819253,0.599724747460032,0.621641539872103,0.626063683544175,0.643799245433566,0.652907717755545,0.644383347493628,0.647433805354943
"GPA",0.693974256644556,0.695177051591888,0.600745715023657,0.646465079259972,0.675913812437292,0.638531342436394,0.651472975777858,0.657500586335673
"HER",0.490878279938354,0.517922240803841,0.519821416292677,0.530960082516995,0.52677244124276,0.52650999961276,0.519092046619647,0.50037624301028
"IOA",0.0797110255070422,0.0872863947174504,0.0611197875794712,0.0608057604856701,0.0808921192443921,0.0925309590985116,0.115350149164565,0.10997778930017
"JIK",0.270077374111515,0.305222141043037,0.321114759489141,0.369831518827342,0.317090375284776,0.374601982909003,0.394963527038999,0.38134299975114
"JKH",0.108614273153621,0.166969204273503,0.172526932359744,0.126534790608652,0.191308180322102,0.178244066127567,0.127780292771069,0.154710046224071
"JKL",0.17835523534544,0.244470016621915,0.217182905707496,0.209961744747112,0.137014870512278,0.191643002666625,0.313775616244752,0.290493290493291
"JMK",0.624314111759405,0.655118720255759,0.671112652592856,0.666111684613612,0.66302382840999,0.654059999682709,0.63058307477742,0.617331557638368
"JNX",0.231927660499089,0.31965956312082,0.333908211171793,0.324665719784514,0.410911016311771,0.471714662868656,0.514191317541381,0.465789482645309
"JSH",0.254703177257525,0.223825835208462,0.250532025659128,0.292806306119916,0.298366130498193,0.242496420214438,0.324866310160428,0.394279298116969
"JSI",0.674262371360836,0.686238951764029,0.694600986843282,0.697554971978338,0.703211754145691,0.705572415507473,0.701894706085232,0.690479554082835
"JSY",0.13363475841404,0.153121472605713,0.119966791199668,0.112162946224082,0.141131786758477,0.084359269816241,0.279561120372669,0.302689743771306
"JTR",0.564135583902609,0.578146096851755,0.57619562183431,0.577699442291476,0.55549634684213,0.516063010151883,0.468147565046456,0.465466617425732
"JTY",0.34583259789449,0.356512264625356,0.38444976076555,0.420857847788954,0.398699935950723,0.396318009390668,0.483991100029982,0.520630376902596
"KGS",0.579957652422907,0.592694089716944,0.595083817108161,0.592462097359004,0.59503739482191,0.599658620542025,0.588232619495946,0.571100975165648
"KIT",0.300741143673081,0.388880826509105,0.37860364178902,0.441974569612879,0.4716123085027,0.430814639905549,0.522137019473312,0.473939962276617
"KLX",0.566073966266749,0.55161671975079,0.59888068475756,0.552645688681965,0.500163729923593,0.565928547981286,0.560831800621298,0.568475392025037
"KSJ",0.217342160503795,0.280326609806379,0.320037105751392,0.312252964426878,0.333296691216885,0.376598268816732,0.399370283372482,0.409432672590567
"KSO",0.556240369799692,0.179995244511374,0.224318291241738,0.170934699103713,0.110570704196202,0.192254495159059,0.238758378343203,0.115762494660402
"KVA",0.368710980536173,0.446564727768623,0.45637212627628,0.465487325636863,0.460047506633608,0.483275521431377,0.486194801880485,0.469709093949202
"KZI",0.594933712121212,0.120053805627172,0.151917048468773,0.137330754352031,0.124259489504863,0.195029636506463,0.14288637642605,0.126968610839579
"KZS",0.404023078122563,0.41602634467618,0.449669985971529,0.454452166612249,0.479559096365819,0.412754692005862,0.486182580522203,0.493359827786057
"LRS",0.223902704171762,0.23846868228253,0.259091914648289,0.292265811947048,0.249447901396133,0.245927742714239,0.29078579976067,0.435810904646835
"LXS",0.156399923891328,0.227767015059833,0.227805924909843,0.287680399114192,0.34535828221835,0.364992331004231,0.374088705028653,0.369403693447763
"MJT",0.222462604753009,0.269202843941709,0.249846738282567,0.271624997170395,0.316245537666181,0.297273479747944,0.190135442712762,0.257933530612668
"MLO",0.148046479532989,0.188519363171604,0.276712208793134,0.221431131286585,0.310108947097031,0.377225847814083,0.492398334196941,0.491572051909395
"PAS",0.335547172484636,0.350703158584266,0.383089849367951,0.397997671711292,0.376606245479653,0.390957855429896,0.437564811614241,0.492757342526977
"PVK",0.630129580280638,0.647799327509383,0.657841566266957,0.651499373096488,0.661331586696449,0.670043817243011,0.657234921109906,0.661901283112311
"RHO",0.516719482766123,0.530415633638637,0.539241579445042,0.548931583880037,0.54855674036624,0.537954322707031,0.531204795353826,0.520041011254365
"SKG",0.157856455844234,0.213071553893512,0.214381474454108,0.217910559190458,0.226777571823057,0.171429575373272,0.155476373662718,0.187314472132817
"SKU",0.350384063475985,0.420204978038067,0.640940656565657,0.550308382905733,0.473778194113084,0.535966686697531,0.507375734256456,0.495310771953108
"SMI",0.420137393888916,0.468219241176809,0.470525691896318,0.475860178409753,0.495587427479947,0.503966817150583,0.471586925204931,0.492126725625384
"VOL",0.616360024879115,0.565101249461439,0.551448316493917,0.620116695329589,0.669157490552444,0.60441069975438,0.630336967945349,0.616818960251973
"ZTH",0.652076960174505,0.660374008325488,0.673134679407455,0.672872133928198,0.674985172569567,0.674154633527453,0.663440596740829,0.649552507499942
